network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water,qcFlag 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T00:00:00Z,15.85,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T00:15:00Z,15.37,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T00:30:00Z,13.87,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T00:45:00Z,13.06,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T01:00:00Z,11.46,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T01:15:00Z,10.69,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T01:30:00Z,8.95,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T01:45:00Z,8.6,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T02:00:00Z,8.57,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T02:15:00Z,7.7,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T02:30:00Z,8.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T02:45:00Z,7.93,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T03:00:00Z,7.95,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T03:15:00Z,7.49,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T03:30:00Z,7.59,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T03:45:00Z,7.45,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T04:00:00Z,6.44,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T04:00:00Z,3.7,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T04:00:00Z,2.82,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T04:00:00Z,17.11,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T04:00:00Z,2.84,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T04:15:00Z,7.01,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T04:30:00Z,7.73,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T04:45:00Z,7.21,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T05:00:00Z,6.75,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T05:00:00Z,3.34,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T05:00:00Z,2.61,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T05:00:00Z,16.5,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T05:00:00Z,2.58,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T05:15:00Z,6.74,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T05:30:00Z,8.61,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T05:45:00Z,7.13,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T06:00:00Z,7.21,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T06:00:00Z,3.12,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T06:00:00Z,2.5,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T06:00:00Z,16.35,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T06:00:00Z,2.25,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T06:15:00Z,7.17,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T06:30:00Z,7.45,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T06:45:00Z,7.59,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T07:00:00Z,6.2,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T07:00:00Z,2.9,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T07:00:00Z,2.53,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T07:00:00Z,13.11,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T07:00:00Z,2.09,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T07:15:00Z,6.37,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T07:30:00Z,6.33,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T07:45:00Z,5.8,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T08:00:00Z,5.7,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T08:00:00Z,2.93,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T08:00:00Z,2.39,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T08:00:00Z,11.61,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T08:00:00Z,2.17,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T08:15:00Z,6.5,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T08:30:00Z,5.73,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T08:45:00Z,5.86,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T09:00:00Z,5.99,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T09:00:00Z,2.95,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T09:00:00Z,2.1,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T09:00:00Z,10.6,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T09:00:00Z,1.98,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T09:15:00Z,6.4,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T09:30:00Z,5.75,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T09:45:00Z,7.18,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T10:00:00Z,5.33,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T10:00:00Z,2.98,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T10:00:00Z,2.13,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T10:00:00Z,12.65,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T10:00:00Z,2.02,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-11-01T10:15:00Z,5.79,1111122 
