network,platform,latitude,longitude,date,mass_concentration_of_chlorophyll_in_sea_water 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T04:00:00Z,4.8 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T05:00:00Z,4.76 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T06:00:00Z,4.73 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T07:00:00Z,4.77 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T08:00:00Z,4.67 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T09:00:00Z,4.82 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T10:00:00Z,4.72 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T11:00:00Z,4.75 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T12:00:00Z,4.69 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T13:00:00Z,4.65 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T14:00:00Z,4.8 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T15:00:00Z,4.82 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T16:00:00Z,4.81 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T17:00:00Z,4.86 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T18:00:00Z,4.83 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T19:00:00Z,4.78 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T20:00:00Z,4.85 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T21:00:00Z,4.89 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-01T22:00:00Z,4.98 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T04:00:00Z,4.84 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T05:00:00Z,4.93 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T06:00:00Z,4.94 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T07:00:00Z,5.02 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T08:00:00Z,4.99 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T09:00:00Z,5.1 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T10:00:00Z,5.01 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T11:00:00Z,5.16 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T12:00:00Z,5.24 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T13:00:00Z,5.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T14:00:00Z,4.85 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T15:00:00Z,4.81 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T16:00:00Z,4.81 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T17:00:00Z,4.88 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T18:00:00Z,4.9 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T19:00:00Z,4.93 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T20:00:00Z,5.0 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T21:00:00Z,5.15 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-02T22:00:00Z,5.26 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-03T04:00:00Z,5.05 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-03T05:00:00Z,5.51 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-03T06:00:00Z,5.19 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-03T07:00:00Z,5.21 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-03T08:00:00Z,5.15 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-03T09:00:00Z,5.33 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-03T10:00:00Z,5.11 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2021-11-03T11:00:00Z,5.36 
