"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-01",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-02",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-03",,,,,,,,,"1.3",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-04",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-06",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-07",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-08",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-09",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-10",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-11",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-12",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-13",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-14",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-15",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-16",,,,,,,,,"14.5",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-17",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-18",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-19",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-20",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1FLPN0105","FEATHER SOUND 1.3 S, FL US","27.889942","-82.659935","9.4","2022-01-21",,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
