network,platform,latitude,longitude,date,relative_humidity,qcFlag 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T00:00:00Z,55.6,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T00:00:00Z,1022.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T00:15:00Z,56.6,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T00:15:00Z,1022.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T00:30:00Z,57.3,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T00:30:00Z,1022.0,11144222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T00:30:00Z,46.1,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T00:34:00Z,78.07,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T00:35:00,82.52,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T00:35:00,79.42,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T00:35:00Z,74.6,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T00:45:00Z,60.5,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T00:45:00Z,1023.0,11144222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T00:45:00Z,88.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gndcrmet,30.3592,-88.4200,2019-11-01T00:45:00Z,87.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T00:45:00Z,81.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T00:45:00Z,78.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T00:54:00,89.1,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T00:54:00,83.49,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T00:54:00,88.7,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T00:56:00Z,77.2,11111222 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2019-11-01T00:57:00Z,69.0,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T01:00:00Z,59.9,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T01:00:00Z,1023.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T01:15:00Z,60.3,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T01:15:00Z,1023.0,11144222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T01:30:00Z,56.8,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T01:30:00Z,1023.0,11144222 
TCOON,ioos:station:TCOON:146,28.1324,-97.0345,2019-11-01T01:30:00Z,46.9,11111222 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2019-11-01T01:34:00Z,80.2,11111222 
COMPS,ioos:station:USF.COMPS:C12,27.4980,-83.7220,2019-11-01T01:35:00,80.9,11111222 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2019-11-01T01:35:00,81.33,11111222 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2019-11-01T01:35:00Z,74.05,11111222 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2019-11-01T01:45:00Z,57.0,11111222 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2019-11-01T01:45:00Z,1024.0,11144222 
NERRS,ioos:station:NOAA.NERRS:apaebmet,29.7909,-84.8834,2019-11-01T01:45:00Z,86.0,11111222 
NERRS,ioos:station:NOAA.NERRS:gtmpcmet,29.6577,-81.2327,2019-11-01T01:45:00Z,82.0,11111222 
NERRS,ioos:station:NOAA.NERRS:wkbshmet,30.4212,-87.8285,2019-11-01T01:45:00Z,78.0,11111222 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2019-11-01T01:54:00,89.52,11111222 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2019-11-01T01:54:00,82.91,11111222 
COMPS,ioos:station:USF.COMPS:SHP,30.0600,-84.2910,2019-11-01T01:54:00,68.98,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2019-11-01T01:56:00Z,75.66,11111222 
