network,platform,latitude,longitude,date,relative_humidity 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T00:00:00Z,68.7 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T00:00:00Z,72.7 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T00:00:00Z,70.2 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T00:00:00Z,76.2 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T00:02:00Z,72.87 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T00:15:00Z,71.6 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T00:15:00Z,74.1 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T00:15:00Z,72.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T00:30:00Z,71.5 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T00:30:00Z,73.8 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T00:30:00Z,72.2 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2020-07-01T00:31:00Z,74.93 
COMPS,ioos:station:USF.COMPS:C10,27.1690,-82.9260,2020-07-01T00:35:00Z,77.86 
COMPS,ioos:station:USF.COMPS:C13,26.0630,-83.0730,2020-07-01T00:35:00Z,69.75 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T00:45:00Z,72.3 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T00:45:00Z,76.9 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T00:45:00Z,71.0 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2020-07-01T00:50:00Z,71.6 
COMPS,ioos:station:USF.COMPS:ARP,28.4330,-82.6670,2020-07-01T00:54:00Z,80.38 
COMPS,ioos:station:USF.COMPS:FHP,28.1530,-82.8010,2020-07-01T00:54:00Z,68.73 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-07-01T00:57:00Z,74.72 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2020-07-01T00:59:00Z,0.407 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T01:00:00Z,73.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T01:00:00Z,74.8 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T01:00:00Z,72.0 
WAVCIS,ioos:station:WAVCIS:CSI06,28.8667,-90.4833,2020-07-01T01:00:00Z,80.3 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2020-07-01T01:02:00Z,73.0 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T01:15:00Z,73.8 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T01:15:00Z,75.5 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2020-07-01T01:15:00Z,73.1 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2020-07-01T01:30:00Z,74.4 
LUMCON,ioos:station:LUMCON:102,29.1870,-90.6093,2020-07-01T01:30:00Z,74.0 
