network,platform,latitude,longitude,date,vertical_datum,sea_water_temperature 
ADCP,ioos:station:wmo:42395,26.4040,-90.7920,2020-07-01T00:00:00Z,0.0,29.06 
ENP,ioos.station.NOAA.NDBC:BDVF1,25.4780,-80.9890,2020-07-01T00:00:00Z,1.0,30.62 
ENP,ioos.station.NOAA.NDBC:BNKF1,25.0870,-80.5190,2020-07-01T00:00:00Z,1.0,33.82 
ENP,ioos.station.NOAA.NDBC:BOBF1,25.0270,-80.6810,2020-07-01T00:00:00Z,1.0,34.04 
ENP,ioos.station.NOAA.NDBC:BWSF1,25.1780,-80.4380,2020-07-01T00:00:00Z,1.0,34.55 
ENP,ioos.station.NOAA.NDBC:CANF1,25.4220,-80.9420,2020-07-01T00:00:00Z,1.0,30.65 
ENP,ioos.station.NOAA.NDBC:CNBF1,25.7020,-81.1860,2020-07-01T00:00:00Z,1.0,36.04 
ENP,ioos.station.NOAA.NDBC:CWAF1,25.2970,-81.0130,2020-07-01T00:00:00Z,1.0,33.57 
ENP,ioos.station.NOAA.NDBC:DKKF1,25.1800,-80.4900,2020-07-01T00:00:00Z,1.0,33.22 
ENP,ioos.station.NOAA.NDBC:GBIF1,25.3780,-81.0290,2020-07-01T00:00:00Z,1.0,32.5 
ENP,ioos.station.NOAA.NDBC:GBTF1,25.1670,-80.8010,2020-07-01T00:00:00Z,1.0,35.29 
ENP,ioos.station.NOAA.NDBC:HCEF1,25.2540,-80.4440,2020-07-01T00:00:00Z,1.0,35.46 
ENP,ioos.station.NOAA.NDBC:JKYF1,25.0530,-80.9040,2020-07-01T00:00:00Z,1.0,35.28 
ENP,ioos.station.NOAA.NDBC:LBSF1,25.2140,-80.4320,2020-07-01T00:00:00Z,1.0,34.28 
ENP,ioos.station.NOAA.NDBC:LMDF1,25.1760,-80.6330,2020-07-01T00:00:00Z,1.0,34.14 
ENP,ioos.station.NOAA.NDBC:LMRF1,25.5560,-81.1690,2020-07-01T00:00:00Z,1.0,33.14 
ENP,ioos.station.NOAA.NDBC:LRIF1,25.2840,-80.8940,2020-07-01T00:00:00Z,1.0,33.71 
ENP,ioos.station.NOAA.NDBC:LRKF1,24.9820,-80.8260,2020-07-01T00:00:00Z,1.0,33.47 
ENP,ioos.station.NOAA.NDBC:LSNF1,25.2350,-80.4570,2020-07-01T00:00:00Z,1.0,34.33 
ENP,ioos.station.NOAA.NDBC:MUKF1,25.1060,-80.9420,2020-07-01T00:00:00Z,1.0,35.35 
ENP,ioos.station.NOAA.NDBC:PKYF1,24.9180,-80.7470,2020-07-01T00:00:00Z,1.0,33.45 
ENP,ioos.station.NOAA.NDBC:TCVF1,25.2130,-80.5330,2020-07-01T00:00:00Z,1.0,34.42 
