network,platform,latitude,longitude,date,sea_water_turbidity,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T00:00:00Z,7.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T00:00:00Z,28.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T00:30:00Z,7.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T00:30:00Z,26.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T01:00:00Z,6.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T01:00:00Z,18.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T01:30:00Z,8.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T01:30:00Z,19.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T02:00:00Z,6.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T02:00:00Z,28.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T02:30:00Z,13.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T02:30:00Z,29.0,11111222 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T02:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T03:00:00Z,273.958951,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T03:00:00Z,38.0,11111222 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T03:30:00Z,9.0,11133222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T03:30:00Z,1089.063024,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T03:45:00Z,7.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T04:00:00Z,552.320209,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T04:00:00Z,28.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T04:00:00Z,2.06,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T04:00:00Z,1.97,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T04:00:00Z,3.23,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T04:00:00Z,1.06,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T04:30:00Z,20.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T04:30:00Z,1734.847597,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T04:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T05:00:00Z,36.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T05:00:00Z,27.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T05:00:00Z,1.95,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T05:00:00Z,1.63,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T05:00:00Z,2.95,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T05:00:00Z,0.92,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T05:30:00Z,1161.870409,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T05:30:00Z,1776.161555,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T05:45:00Z,6.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T06:00:00Z,1224.857263,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T06:00:00Z,26.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T06:00:00Z,1.72,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T06:00:00Z,1.61,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T06:00:00Z,2.92,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T06:00:00Z,0.91,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T06:30:00Z,54.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T06:30:00Z,1061.633265,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T06:45:00Z,3.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T07:00:00Z,1626.821756,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T07:00:00Z,38.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T07:00:00Z,1.59,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T07:00:00Z,1.73,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T07:00:00Z,2.78,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T07:00:00Z,0.9,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T07:30:00Z,43.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T07:30:00Z,2263.801715,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T07:45:00Z,5.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T08:00:00Z,49.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T08:00:00Z,62.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T08:00:00Z,1.76,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T08:00:00Z,1.46,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T08:00:00Z,2.84,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T08:00:00Z,0.92,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T08:30:00Z,1628.176312,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T08:30:00Z,2580.767819,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T08:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T09:00:00Z,57.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T09:00:00Z,67.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T09:00:00Z,2.31,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T09:00:00Z,1.62,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T09:00:00Z,2.67,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T09:00:00Z,0.87,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T09:30:00Z,1994.245071,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T09:30:00Z,1152.388517,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T09:45:00Z,5.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T10:00:00Z,1432.104331,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T10:00:00Z,31.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T10:00:00Z,2.59,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T10:00:00Z,1.93,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T10:00:00Z,2.97,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T10:00:00Z,0.94,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T10:30:00Z,55.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T10:30:00Z,2156.791791,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T10:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T11:00:00Z,2182.866994,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T11:00:00Z,50.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T11:00:00Z,2.65,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T11:00:00Z,1.99,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T11:00:00Z,2.45,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T11:00:00Z,0.95,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T11:30:00Z,67.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T11:30:00Z,2432.443937,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T11:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T12:00:00Z,115.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T12:00:00Z,52.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T12:00:00Z,2.53,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T12:00:00Z,2.75,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T12:00:00Z,2.45,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T12:00:00Z,0.98,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T12:30:00Z,2641.045561,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T12:30:00Z,1809.348177,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T12:45:00Z,4.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T13:00:00Z,65.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T13:00:00Z,73.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T13:00:00Z,2.31,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T13:00:00Z,2.73,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T13:00:00Z,2.55,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T13:00:00Z,1.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T13:30:00Z,2959.70486,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T13:30:00Z,1593.973773,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T13:45:00Z,3.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T14:00:00Z,76.0,11111222 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T14:00:00Z,66.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T14:00:00Z,2.27,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-11-01T14:00:00Z,2.26,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-11-01T14:00:00Z,2.5,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-11-01T14:00:00Z,0.92,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T14:30:00Z,5028.78915,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T14:30:00Z,1588.555549,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-11-01T14:45:00Z,5.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-11-01T15:00:00Z,2036.913585,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-11-01T15:00:00Z,35.0,11111222 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2018-11-01T15:00:00Z,1.71,1111122 
