network,platform,latitude,longitude,date,sea_water_turbidity 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T00:15:00Z,34.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T00:15:00Z,429.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T00:15:00Z,60.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T00:30:00Z,293.938652 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T00:30:00Z,326.109357 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T00:45:00Z,26.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T00:45:00Z,34.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T00:45:00Z,92.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T01:00:00Z,325.770718 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T01:15:00Z,40.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T01:15:00Z,44.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T01:15:00Z,65.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T01:30:00Z,135.794239 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T01:45:00Z,23.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T01:45:00Z,30.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T01:45:00Z,75.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T02:00:00Z,280.731731 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T02:15:00Z,39.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T02:15:00Z,184.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T02:15:00Z,54.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T02:30:00Z,117.846372 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T02:45:00Z,21.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T02:45:00Z,22.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T02:45:00Z,81.0 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2020-09-01T03:00:00Z,278.699897 
NERRS,ioos:station:NOAA.NERRS:marcewq,28.1323,-97.0344,2020-09-01T03:15:00Z,43.0 
NERRS,ioos:station:NOAA.NERRS:marcwwq,28.0841,-97.2009,2020-09-01T03:15:00Z,50.0 
NERRS,ioos:station:NOAA.NERRS:marmbwq,28.1384,-96.8285,2020-09-01T03:15:00Z,92.0 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2020-09-01T03:30:00Z,255.672445 
NERRS,ioos:station:NOAA.NERRS:gtmpcwq,29.6671,-81.2574,2020-09-01T03:45:00Z,16.0 
NERRS,ioos:station:NOAA.NERRS:marabwq,27.9798,-97.0287,2020-09-01T03:45:00Z,19.0 
NERRS,ioos:station:NOAA.NERRS:wkbfrwq,30.4162,-87.8228,2020-09-01T03:45:00Z,85.0 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2020-09-01T04:00:00Z,4.38 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2020-09-01T04:00:00Z,2.12 
