,air_pressure(mBar),date,coordinates,air_temperature,mass_concentration_of_chlorophyll_in_sea_water,relative_humidity,mass_concentration_of_oxygen_in_sea_wate,sea_water_practical_salinity,USA_SSHS,xco2,Methane_ppbv,tropical_storm_occurence
0,9999.0,20150601,29.0-92.0,28.9,,,,,,,1850.0,0.0
1,1015.2,20150601,28.0-92.0,28.9,,,,,,,1850.0,0.0
2,1015.9,20150601,29.0-88.0,26.7,,,,,,,1850.0,0.0
3,1015.98,20150601,28.0-94.0,11.0,,49.9,,35.24,,,1850.0,0.0
4,1015.7,20150601,30.0-87.0,25.8,,,,,,,1850.0,0.0
5,1016.5,20150601,28.0-95.0,27.2,,,,,,,1850.0,0.0
6,1015.3,20150601,29.0-94.0,28.2,,,,,,,1850.0,0.0
7,1015.7,20150601,30.0-88.0,27.4,,76.0,6.74,0.1,,,1850.0,0.0
8,1014.982,20150601,30.0-89.0,27.896,,,,15.61,,,1850.0,0.0
9,1016.1,20150601,29.0-89.0,28.2,,,,,,,1850.0,0.0
10,1015.4,20150601,29.0-90.0,27.9,,71.6,,,,,1850.0,0.0
11,1014.5,20150601,30.0-90.0,27.0,,,,,,,1850.0,0.0
12,1015.3,20150601,30.0-91.0,27.7,,,,,,,1850.0,0.0
13,1015.0,20150601,29.0-91.0,27.6,,64.7,,0.143,,,1850.0,0.0
14,1014.672,20150601,30.0-93.0,28.058,,,,,,,1850.0,0.0
15,1016.4,20150601,29.0-95.0,27.5,,68.6,,23.3,,,1850.0,0.0
16,1015.6,20150601,29.0-97.0,28.2,,,,,,,1850.0,0.0
17,9999.0,20150601,28.0-96.0,28.3,,,,23.7399,,,1850.0,0.0
18,1015.6,20150601,30.0-95.0,32.2,,,,0.139,,,1850.0,0.0
19,1015.5,20150601,30.0-94.0,29.1,,,,16.5733,,,1850.0,0.0
20,,20150601,28.0-89.0,26.4,,,,,,,1850.0,0.0
21,,20150601,30.0-92.0,27.6,,,,,,,1850.0,0.0
22,,20150601,28.0-88.0,28.6,,,,,,,1850.0,0.0
23,,20150601,28.0-97.0,,,,,2.3,,,1850.0,0.0
24,9999.0,20150602,29.0-92.0,30.1,,,,,,,,0.0
25,1013.5,20150602,28.0-92.0,28.9,,,,,,,,0.0
26,1012.9,20150602,29.0-88.0,26.7,,,,,,,,0.0
27,1014.01,20150602,28.0-94.0,10.8,,44.3,,35.38,,,,0.0
28,1014.1,20150602,28.0-95.0,28.0,,,,,,,,0.0
29,1012.9,20150602,29.0-94.0,28.7,,,,,,,,0.0
30,1013.1,20150602,30.0-87.0,27.2,,,,,,,,0.0
31,1013.3,20150602,30.0-88.0,27.5,,78.0,7.09,0.1,,,,0.0
32,1012.862,20150602,30.0-89.0,27.635,,,,16.88,,,,0.0
33,1013.5,20150602,29.0-89.0,27.5,,,,,,,,0.0
34,1013.0,20150602,29.0-90.0,28.6,,93.0,,,,,,0.0
35,1012.3,20150602,30.0-90.0,32.1,,,,,,,,0.0
36,1012.8,20150602,30.0-91.0,29.1,,,,,,,,0.0
37,1012.7,20150602,29.0-91.0,28.7,,54.8,,0.143,,,,0.0
38,1012.322,20150602,30.0-93.0,28.534,,,,,,,,0.0
39,1013.5,20150602,29.0-95.0,28.9,,71.1,,26.18,,,,0.0
40,1013.0,20150602,29.0-97.0,28.2,,,,,,,,0.0
41,9999.0,20150602,28.0-96.0,27.9,,,,23.2776,,,,0.0
42,1013.1,20150602,30.0-95.0,33.3,,,,0.711,,,,0.0
43,1013.1,20150602,30.0-94.0,29.6,,,,17.3162,,,,0.0
44,,20150602,28.0-89.0,26.8,,,,,,,,0.0
45,,20150602,30.0-92.0,27.6,,,,,,,,0.0
46,,20150602,28.0-88.0,29.6,,,,,,,,0.0
47,,20150602,28.0-97.0,,,,,1.2,,,,0.0
